iter	Passed	Remaining
421	2520	3451
422	2525	3445
423	2530	3438
424	2536	3431
425	2542	3425
426	2548	3419
427	2553	3412
428	2559	3406
429	2565	3400
430	2571	3394
431	2576	3387
432	2581	3380
433	2587	3374
434	2593	3367
435	2598	3361
436	2604	3354
437	2609	3348
438	2614	3340
439	2619	3333
440	2624	3327
441	2629	3319
442	2634	3312
443	2639	3305
444	2644	3297
445	2649	3290
446	2654	3283
447	2659	3277
448	2664	3270
449	2669	3263
450	2674	3256
451	2679	3249
452	2684	3241
453	2689	3234
454	2694	3227
455	2699	3220
456	2704	3212
457	2708	3205
458	2714	3198
459	2718	3191
460	2723	3183
461	2727	3176
462	2733	3169
463	2737	3162
464	2742	3155
465	2747	3148
466	2752	3141
467	2757	3134
468	2762	3127
469	2767	3120
470	2772	3113
471	2776	3106
472	2781	3098
473	2786	3091
474	2790	3084
475	2795	3077
476	2801	3071
477	2806	3064
478	2811	3058
479	2816	3051
480	2821	3043
481	2825	3036
482	2830	3029
483	2835	3022
484	2839	3015
485	2844	3008
486	2849	3001
487	2853	2994
488	2858	2986
489	2863	2980
490	2868	2973
491	2873	2966
492	2877	2959
493	2882	2952
494	2887	2945
495	2891	2938
496	2896	2931
497	2901	2924
498	2906	2917
499	2911	2911
500	2915	2904
501	2920	2897
502	2926	2891
503	2931	2884
504	2936	2878
505	2941	2871
506	2946	2864
507	2951	2858
508	2955	2851
509	2961	2845
510	2966	2838
511	2971	2831
512	2976	2825
513	2980	2818
514	2985	2811
515	2990	2805
516	2995	2798
517	3000	2791
518	3004	2784
519	3009	2778
520	3014	2771
521	3019	2764
522	3024	2758
523	3029	2752
524	3034	2745
525	3039	2738
526	3043	2732
527	3049	2725
528	3054	2719
529	3058	2712
530	3063	2705
531	3068	2699
532	3074	2693
533	3078	2686
534	3083	2680
535	3088	2673
536	3094	2667
537	3099	2661
538	3104	2655
539	3109	2648
540	3114	2642
541	3119	2636
542	3124	2629
543	3129	2623
544	3134	2616
545	3139	2610
546	3144	2604
547	3149	2597
548	3154	2591
549	3158	2584
550	3164	2578
551	3169	2571
552	3174	2565
553	3179	2559
554	3184	2553
555	3189	2546
556	3193	2540
557	3198	2533
558	3204	2527
559	3209	2522
560	3215	2516
561	3220	2510
562	3226	2504
563	3231	2498
564	3237	2492
565	3242	2486
566	3247	2480
567	3253	2474
568	3258	2467
569	3262	2461
570	3267	2455
571	3272	2448
572	3278	2442
573	3284	2437
574	3290	2431
575	3295	2426
576	3301	2420
577	3306	2414
578	3312	2408
579	3317	2402
580	3323	2396
581	3328	2390
582	3333	2383
583	3338	2377
584	3343	2371
585	3348	2365
586	3353	2359
587	3358	2353
588	3363	2347
589	3369	2341
590	3374	2335
591	3379	2329
592	3386	2324
593	3392	2318
594	3397	2312
595	3402	2306
596	3408	2300
597	3413	2294
598	3419	2289
599	3425	2283
600	3431	2277
601	3437	2272
602	3442	2266
603	3448	2260
604	3453	2254
605	3459	2249
606	3465	2243
607	3470	2237
608	3476	2232
609	3482	2226
610	3487	2220
611	3493	2215
612	3499	2209
613	3505	2203
614	3510	2197
615	3516	2192
616	3522	2186
617	3528	2180
618	3534	2175
619	3540	2169
620	3546	2164
621	3551	2158
622	3557	2152
623	3563	2147
624	3569	2141
625	3575	2135
626	3580	2130
627	3586	2124
628	3592	2118
629	3597	2113
630	3603	2107
631	3609	2101
632	3614	2095
633	3620	2090
634	3626	2084
635	3631	2078
636	3637	2072
637	3643	2067
638	3649	2061
639	3654	2055
640	3660	2050
641	3666	2044
642	3672	2038
643	3678	2033
644	3683	2027
645	3689	2022
646	3696	2016
647	3702	2011
648	3708	2005
649	3713	1999
650	3719	1994
651	3725	1988
652	3731	1982
653	3737	1977
654	3743	1971
655	3749	1966
656	3755	1960
657	3761	1955
658	3767	1949
659	3772	1943
660	3778	1937
661	3784	1932
662	3790	1926
663	3795	1920
664	3801	1915
665	3807	1909
666	3813	1903
667	3819	1898
668	3825	1892
669	3830	1886
670	3836	1881
671	3842	1875
672	3848	1870
673	3855	1864
674	3860	1858
675	3866	1853
676	3872	1847
677	3878	1841
678	3884	1836
679	3890	1830
680	3895	1824
681	3901	1819
682	3907	1813
683	3913	1808
684	3919	1802
685	3925	1796
686	3931	1791
687	3938	1785
688	3944	1780
689	3950	1774
690	3956	1769
691	3962	1763
692	3968	1757
693	3973	1751
694	3979	1746
695	3984	1740
696	3990	1734
697	3996	1729
698	4002	1723
699	4008	1717
700	4014	1712
701	4020	1706
702	4026	1700
703	4031	1695
704	4037	1689
705	4043	1683
706	4049	1678
707	4055	1672
708	4061	1666
709	4066	1661
710	4072	1655
711	4078	1649
712	4083	1643
713	4089	1638
714	4095	1632
715	4100	1626
716	4106	1620
717	4112	1615
718	4118	1609
719	4124	1603
720	4130	1598
721	4135	1592
722	4141	1586
723	4147	1581
724	4153	1575
725	4159	1569
726	4165	1564
727	4171	1558
728	4176	1552
729	4182	1546
730	4187	1541
731	4193	1535
732	4199	1529
733	4205	1524
734	4211	1518
735	4217	1512
736	4223	1506
737	4229	1501
738	4235	1495
739	4240	1490
740	4246	1484
741	4252	1478
742	4258	1473
743	4264	1467
744	4270	1461
745	4276	1456
746	4282	1450
747	4288	1444
748	4294	1438
749	4300	1433
750	4306	1427
751	4311	1421
752	4317	1416
753	4323	1410
754	4329	1404
755	4335	1399
756	4341	1393
757	4346	1387
758	4352	1382
759	4358	1376
760	4363	1370
761	4368	1364
762	4373	1358
763	4378	1352
764	4383	1346
765	4389	1340
766	4394	1334
767	4399	1328
768	4404	1323
769	4409	1317
770	4415	1311
771	4420	1305
772	4425	1299
773	4431	1293
774	4436	1288
775	4441	1282
776	4446	1276
777	4451	1270
778	4456	1264
779	4461	1258
780	4466	1252
781	4471	1246
782	4476	1240
783	4481	1234
784	4486	1228
785	4490	1222
786	4495	1216
787	4501	1211
788	4506	1205
789	4511	1199
790	4515	1193
791	4521	1187
792	4526	1181
793	4531	1175
794	4536	1169
795	4542	1164
796	4546	1158
797	4552	1152
798	4557	1146
799	4561	1140
800	4567	1134
801	4571	1128
802	4576	1122
803	4581	1116
804	4586	1111
805	4591	1105
806	4596	1099
807	4601	1093
808	4606	1087
809	4611	1081
810	4616	1075
811	4621	1070
812	4626	1064
813	4631	1058
814	4636	1052
815	4642	1046
816	4647	1041
817	4652	1035
818	4657	1029
819	4662	1023
820	4667	1017
821	4673	1011
822	4678	1006
823	4683	1000
824	4688	994
825	4693	988
826	4698	982
827	4703	977
828	4708	971
829	4713	965
830	4718	959
831	4723	953
832	4728	948
833	4734	942
834	4739	936
835	4744	930
836	4750	925
837	4755	919
838	4761	913
839	4766	907
840	4771	902
841	4777	896
842	4782	890
843	4788	885
844	4793	879
845	4799	873
846	4804	867
847	4809	862
848	4814	856
849	4820	850
850	4825	844
851	4830	839
852	4835	833
853	4840	827
854	4845	821
855	4850	816
856	4856	810
857	4862	804
858	4868	799
859	4873	793
860	4878	787
861	4883	781
862	4888	776
863	4893	770
864	4898	764
865	4903	758
866	4909	753
867	4914	747
868	4920	741
869	4925	736
870	4931	730
871	4935	724
872	4941	718
873	4946	713
874	4951	707
875	4957	701
876	4962	696
877	4967	690
878	4972	684
879	4977	678
880	4982	673
881	4987	667
882	4992	661
883	4997	655
884	5002	650
885	5008	644
886	5013	638
887	5019	633
888	5025	627
889	5030	621
890	5036	616
891	5041	610
892	5047	604
893	5051	598
894	5057	593
895	5063	587
896	5068	581
897	5073	576
898	5078	570
899	5084	564
900	5089	559
901	5094	553
902	5100	547
903	5105	542
904	5111	536
905	5116	530
906	5121	525
907	5127	519
908	5133	513
909	5139	508
910	5144	502
911	5150	496
912	5155	491
913	5161	485
914	5166	479
915	5172	474
916	5178	468
917	5183	463
918	5189	457
919	5195	451
920	5200	446
921	5206	440
922	5211	434
923	5216	429
924	5222	423
925	5228	417
926	5234	412
927	5240	406
928	5247	401
929	5255	395
930	5262	390
931	5270	384
932	5276	378
933	5283	373
934	5289	367
935	5295	362
936	5300	356
937	5306	350
938	5311	345
939	5317	339
940	5322	333
941	5328	328
942	5334	322
943	5340	316
944	5345	311
945	5352	305
946	5357	299
947	5364	294
948	5369	288
949	5375	282
950	5382	277
951	5388	271
952	5394	266
953	5401	260
954	5407	254
955	5413	249
956	5419	243
957	5425	237
958	5431	232
959	5437	226
960	5442	220
961	5448	215
962	5455	209
963	5461	203
964	5467	198
965	5474	192
966	5481	187
967	5488	181
968	5495	175
969	5501	170
970	5507	164
971	5514	158
972	5520	153
973	5527	147
974	5533	141
975	5540	136
976	5546	130
977	5552	124
978	5558	119
979	5564	113
980	5570	107
981	5576	102
982	5583	96
983	5589	90
984	5595	85
985	5602	79
986	5608	73
987	5614	68
988	5620	62
989	5627	56
990	5633	51
991	5640	45
992	5646	39
993	5653	34
994	5660	28
995	5666	22
996	5672	17
997	5678	11
998	5685	5
999	5691	0
